Bundesland;Altersgruppen;Geschlecht;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Alle Orte;        90 bis unter 95 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alle Orte;        95 Jahre und älter;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alle Orte;        95 Jahre und älter;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alle Orte;        95 Jahre und älter;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alle Orte;        95 Jahre und älter;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alle Orte;        Unbekannt;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alle Orte;        Unbekannt;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alle Orte;        Unbekannt;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alle Orte;        Unbekannt;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;Alle Altersgruppen;Alle Geschlechter;120;345;419;462;472;564;691;883;958;1.051;1.206;1.529;1.505;1.816;2.324;2.155;2.598;2.600;3.075;3.520
        Deutschland;Alle Altersgruppen;Männlich;120;170;205;215;254;287;415;542;580;666;782;996;939;1.196;1.597;1.462;1.719;1.667;1.834;2.000
        Deutschland;Alle Altersgruppen;        Weiblich;0;175;214;247;218;277;276;341;378;385;423;532;566;619;727;693;879;933;1.241;1.520
        Deutschland;Alle Altersgruppen;        Unbekannt;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0
        Deutschland;        Unter 1 Jahr;Alle Geschlechter;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
        Deutschland;        Unter 1 Jahr;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        Unter 1 Jahr;        Weiblich;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
        Deutschland;        Unter 1 Jahr;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        1 Jahr bis unter 5 Jahre;Alle Geschlechter;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
        Deutschland;        1 Jahr bis unter 5 Jahre;Männlich;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
        Deutschland;        1 Jahr bis unter 5 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        1 Jahr bis unter 5 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        5 bis unter 10 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        5 bis unter 10 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        5 bis unter 10 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        5 bis unter 10 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        10 bis unter 15 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        10 bis unter 15 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        10 bis unter 15 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        10 bis unter 15 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        15 bis unter 20 Jahre;Alle Geschlechter;0;7;14;12;21;22;28;25;23;22;47;73;72;110;178;164;190;162;181;182
        Deutschland;        15 bis unter 20 Jahre;Männlich;0;2;5;5;7;15;15;15;12;12;29;37;44;62;124;120;137;112;103;88
        Deutschland;        15 bis unter 20 Jahre;        Weiblich;0;5;9;7;14;7;13;10;11;10;18;36;28;48;54;44;53;50;78;94
        Deutschland;        15 bis unter 20 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        20 bis unter 25 Jahre;Alle Geschlechter;8;28;40;53;60;69;101;129;167;185;199;282;288;384;513;520;727;674;842;893
        Deutschland;        20 bis unter 25 Jahre;Männlich;8;16;23;28;43;41;70;92;116;127;148;213;207;301;377;387;542;484;557;550
        Deutschland;        20 bis unter 25 Jahre;        Weiblich;0;12;17;25;17;28;31;37;51;58;51;68;81;82;136;133;185;190;285;343
        Deutschland;        20 bis unter 25 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
        Deutschland;        25 bis unter 30 Jahre;Alle Geschlechter;31;46;60;60;66;83;104;152;166;189;234;294;320;397;523;477;592;634;720;942
        Deutschland;        25 bis unter 30 Jahre;Männlich;31;28;40;32;46;56;80;112;119;149;169;234;229;293;392;364;414;421;454;555
        Deutschland;        25 bis unter 30 Jahre;        Weiblich;0;18;20;28;20;27;24;40;47;40;65;60;91;104;131;113;178;213;266;387
        Deutschland;        25 bis unter 30 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        30 bis unter 35 Jahre;Alle Geschlechter;33;61;82;74;84;109;103;163;190;175;212;229;216;233;336;296;365;381;445;543
        Deutschland;        30 bis unter 35 Jahre;Männlich;33;47;51;45;56;73;76;119;140;132;160;151;135;156;236;210;230;265;289;340
        Deutschland;        30 bis unter 35 Jahre;        Weiblich;0;14;31;29;28;36;27;44;50;43;51;78;81;77;100;86;135;116;156;203
        Deutschland;        30 bis unter 35 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
        Deutschland;        35 bis unter 40 Jahre;Alle Geschlechter;25;60;62;65;68;82;92;98;119;132;148;198;166;209;242;215;204;224;272;321
        Deutschland;        35 bis unter 40 Jahre;Männlich;25;30;28;27;41;44;66;66;77;89;110;139;117;144;193;162;141;133;164;172
        Deutschland;        35 bis unter 40 Jahre;        Weiblich;0;30;34;38;27;38;26;32;42;43;38;59;49;65;49;53;63;91;108;149
        Deutschland;        35 bis unter 40 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        40 bis unter 45 Jahre;Alle Geschlechter;10;70;84;89;81;73;114;97;76;111;101;152;145;148;146;151;174;191;196;221
        Deutschland;        40 bis unter 45 Jahre;Männlich;10;23;39;50;35;28;62;58;46;63;54;100;87;104;97;97;110;120;106;120
        Deutschland;        40 bis unter 45 Jahre;        Weiblich;0;47;45;39;46;45;52;39;30;48;47;52;58;44;49;54;64;71;90;101
        Deutschland;        40 bis unter 45 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        45 bis unter 50 Jahre;Alle Geschlechter;10;40;36;60;41;50;79;115;112;126;128;131;101;119;120;94;127;105;135;142
        Deutschland;        45 bis unter 50 Jahre;Männlich;10;19;13;19;19;12;31;50;48;61;70;63;55;63;74;47;73;46;63;67
        Deutschland;        45 bis unter 50 Jahre;        Weiblich;0;21;23;41;22;38;48;65;64;65;58;68;46;56;46;47;54;59;72;75
        Deutschland;        45 bis unter 50 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        50 bis unter 55 Jahre;Alle Geschlechter;0;17;19;32;30;51;43;62;51;65;84;107;109;105;123;109;106;94;113;109
        Deutschland;        50 bis unter 55 Jahre;Männlich;0;2;3;7;4;13;9;24;14;26;28;40;46;46;58;37;37;38;47;47
        Deutschland;        50 bis unter 55 Jahre;        Weiblich;0;15;16;25;26;38;34;38;37;39;56;67;63;59;65;72;69;56;66;62
        Deutschland;        50 bis unter 55 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        55 bis unter 60 Jahre;Alle Geschlechter;3;8;12;9;13;9;19;21;28;34;34;41;58;68;83;66;69;82;104;95
        Deutschland;        55 bis unter 60 Jahre;Männlich;3;0;1;0;2;3;4;4;3;7;10;10;13;23;36;22;22;27;35;35
        Deutschland;        55 bis unter 60 Jahre;        Weiblich;0;8;11;9;11;6;15;17;25;27;24;31;45;45;47;44;47;55;69;60
        Deutschland;        55 bis unter 60 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        60 bis unter 65 Jahre;Alle Geschlechter;0;7;3;6;8;11;2;11;18;11;15;15;22;30;41;40;28;31;42;51
        Deutschland;        60 bis unter 65 Jahre;Männlich;0;2;2;2;1;1;1;0;1;0;4;7;6;3;6;11;8;13;10;19
        Deutschland;        60 bis unter 65 Jahre;        Weiblich;0;5;1;4;7;10;1;11;17;11;11;8;16;27;35;29;20;18;32;32
        Deutschland;        60 bis unter 65 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        65 bis unter 70 Jahre;Alle Geschlechter;0;0;4;1;0;4;4;4;5;1;4;3;6;12;16;17;11;19;20;11
        Deutschland;        65 bis unter 70 Jahre;Männlich;0;0;0;0;0;0;1;2;3;0;0;0;0;1;4;3;2;7;5;1
        Deutschland;        65 bis unter 70 Jahre;        Weiblich;0;0;4;1;0;4;3;2;2;1;4;3;6;11;12;14;9;12;15;10
        Deutschland;        65 bis unter 70 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        70 bis unter 75 Jahre;Alle Geschlechter;0;0;2;0;0;1;2;5;2;0;0;1;1;1;2;4;4;3;5;8
        Deutschland;        70 bis unter 75 Jahre;Männlich;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;2;1;1;4
        Deutschland;        70 bis unter 75 Jahre;        Weiblich;0;0;2;0;0;0;2;5;2;0;0;0;1;1;2;3;2;2;4;4
        Deutschland;        70 bis unter 75 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        75 bis unter 80 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;2;1;0;0;1
        Deutschland;        75 bis unter 80 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1
        Deutschland;        75 bis unter 80 Jahre;        Weiblich;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;0;0;0;0
        Deutschland;        75 bis unter 80 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        80 bis unter 85 Jahre;Alle Geschlechter;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
        Deutschland;        80 bis unter 85 Jahre;Männlich;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
        Deutschland;        80 bis unter 85 Jahre;        Weiblich;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        80 bis unter 85 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        85 bis unter 90 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        85 bis unter 90 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        85 bis unter 90 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        85 bis unter 90 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        90 bis unter 95 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        90 bis unter 95 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        90 bis unter 95 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        90 bis unter 95 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        95 Jahre und älter;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        95 Jahre und älter;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        95 Jahre und älter;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        95 Jahre und älter;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        Unbekannt;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        Unbekannt;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        Unbekannt;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        Deutschland;        Unbekannt;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Baden-Württemberg;Alle Altersgruppen;Alle Geschlechter;1;4;2;6;10;9;6;8;7;8;9;12;10;15;19;43;42;56;80;138
          Baden-Württemberg;Alle Altersgruppen;Männlich;1;1;0;0;1;2;0;0;1;1;1;1;1;0;4;14;11;22;15;32
          Baden-Württemberg;Alle Altersgruppen;        Weiblich;0;3;2;6;9;7;6;8;6;7;8;11;9;14;15;29;31;34;65;106
          Baden-Württemberg;Alle Altersgruppen;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
          Baden-Württemberg;        Unter 1 Jahr;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Baden-Württemberg;        Unter 1 Jahr;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Baden-Württemberg;        Unter 1 Jahr;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Baden-Württemberg;        Unter 1 Jahr;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Baden-Württemberg;        1 Jahr bis unter 5 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Baden-Württemberg;        1 Jahr bis unter 5 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Baden-Württemberg;        1 Jahr bis unter 5 Jahre;        Weiblich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Baden-Württemberg;        1 Jahr bis unter 5 Jahre;        Unbekannt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Baden-Württemberg;        5 bis unter 10 Jahre;Alle Geschlechter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
          Baden-Württemberg;        5 bis unter 10 Jahre;Männlich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
